GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With one type of health insurance coverage:,Margin of Error; Under 18 years: - With one type of health insurance coverage:,Estimate; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; Under 18 years: - With two or more types of health insurance coverage:,Margin of Error; Under 18 years: - With two or more types of health insurance coverage:,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 34 years:,Margin of Error; 18 to 34 years:,Estimate; 18 to 34 years: - With one type of health insurance coverage:,Margin of Error; 18 to 34 years: - With one type of health insurance coverage:,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 18 to 34 years: - With two or more types of health insurance coverage:,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage:,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 18 to 34 years: - No health insurance coverage,Margin of Error; 18 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years:,Margin of Error; 35 to 64 years:,Estimate; 35 to 64 years: - With one type of health insurance coverage:,Margin of Error; 35 to 64 years: - With one type of health insurance coverage:,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage:,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage:,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 35 to 64 years: - No health insurance coverage,Margin of Error; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With one type of health insurance coverage:,Margin of Error; 65 years and over: - With one type of health insurance coverage:,Estimate; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 65 years and over: - With two or more types of health insurance coverage:,Margin of Error; 65 years and over: - With two or more types of health insurance coverage:,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
1500000US370510002001,370510002001,"Block Group 1, Census Tract 2, Cumberland County, North Carolina",516,107,188,68,177,62,0,12,0,12,0,12,177,62,0,12,0,12,11,17,0,12,0,12,0,12,0,12,0,12,11,17,0,12,146,53,77,30,5,9,0,12,0,12,67,28,5,8,0,12,9,11,0,12,0,12,5,9,0,12,0,12,4,7,60,37,117,39,75,33,15,20,0,12,15,17,45,24,0,12,0,12,20,17,0,12,0,12,0,12,11,14,0,12,0,12,9,10,22,14,65,26,29,18,0,12,0,12,29,18,0,12,0,12,36,22,0,12,0,12,6,10,25,17,0,12,0,12,5,10,0,12
1500000US370510002002,370510002002,"Block Group 2, Census Tract 2, Cumberland County, North Carolina",810,212,285,149,254,141,4,7,0,12,0,12,250,143,0,12,0,12,26,33,0,12,0,12,6,9,0,12,0,12,20,32,5,8,297,111,134,64,29,30,6,9,0,12,99,59,0,12,0,12,38,46,0,12,0,12,4,8,0,12,0,12,34,44,125,89,156,46,104,33,26,16,4,7,11,12,28,24,4,6,31,26,45,32,0,12,0,12,0,12,22,21,0,12,0,12,23,26,7,9,72,59,12,13,0,12,0,12,12,13,0,12,0,12,60,58,0,12,0,12,5,7,40,55,0,12,0,12,15,22,0,12
1500000US370510002003,370510002003,"Block Group 3, Census Tract 2, Cumberland County, North Carolina",813,115,222,87,195,78,0,12,5,8,0,12,190,76,0,12,0,12,17,16,0,12,0,12,0,12,0,12,0,12,17,16,10,12,173,58,125,54,44,32,26,28,5,9,50,35,0,12,0,12,14,23,0,12,7,12,0,12,0,12,0,12,7,11,34,29,327,60,215,57,139,48,10,10,0,12,41,26,7,10,18,21,49,23,0,12,0,12,0,12,21,14,0,12,0,12,28,19,63,29,91,29,47,29,0,12,0,12,47,29,0,12,0,12,44,23,0,12,0,12,3,6,23,15,0,12,0,12,18,18,0,12
1500000US370510005001,370510005001,"Block Group 1, Census Tract 5, Cumberland County, North Carolina",1112,172,284,88,250,81,67,44,11,16,0,12,162,64,10,8,0,12,34,29,0,12,0,12,0,12,14,20,0,12,20,22,0,12,268,70,205,59,74,31,4,7,0,12,109,47,18,14,0,12,14,15,0,12,0,12,5,9,0,12,0,12,9,12,49,29,360,66,216,57,110,38,22,19,20,14,54,29,10,15,0,12,73,28,0,12,4,7,5,7,28,20,16,14,0,12,20,18,71,32,200,41,84,32,0,12,0,12,79,31,5,7,0,12,116,35,0,12,6,8,26,19,15,13,0,12,14,13,55,32,0,12
1500000US370510005002,370510005002,"Block Group 2, Census Tract 5, Cumberland County, North Carolina",494,114,146,74,141,75,0,12,0,12,0,12,135,74,6,9,0,12,5,7,0,12,0,12,0,12,0,12,0,12,5,7,0,12,99,40,35,21,0,12,0,12,0,12,35,21,0,12,0,12,6,8,0,12,0,12,0,12,0,12,0,12,6,8,58,39,185,48,101,40,43,27,0,12,5,7,34,25,10,14,9,10,31,19,0,12,6,8,0,12,15,14,5,7,0,12,5,7,53,25,64,36,19,12,0,12,0,12,19,12,0,12,0,12,45,33,0,12,0,12,5,7,15,14,0,12,5,7,20,28,0,12
1500000US370510005003,370510005003,"Block Group 3, Census Tract 5, Cumberland County, North Carolina",594,118,121,57,121,57,12,14,0,12,0,12,102,55,7,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,133,51,69,34,25,23,0,12,0,12,44,25,0,12,0,12,15,15,0,12,0,12,0,12,7,10,0,12,8,12,49,24,227,55,114,41,69,30,9,10,13,11,23,18,0,12,0,12,39,22,0,12,0,12,0,12,25,19,0,12,0,12,14,14,74,32,113,37,38,22,0,12,0,12,38,22,0,12,0,12,75,28,0,12,0,12,5,7,22,17,0,12,0,12,48,23,0,12
1500000US370510006001,370510006001,"Block Group 1, Census Tract 6, Cumberland County, North Carolina",1131,239,274,129,274,129,16,23,16,26,0,12,179,98,63,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,371,125,288,126,124,90,62,68,0,12,90,65,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,83,75,282,118,204,91,122,81,0,12,0,12,52,40,30,34,0,12,36,44,0,12,0,12,0,12,0,12,28,41,0,12,8,14,42,39,204,91,53,46,0,12,0,12,53,46,0,12,0,12,151,74,0,12,54,52,13,21,36,41,0,12,21,32,27,30,0,12
1500000US370510006002,370510006002,"Block Group 2, Census Tract 6, Cumberland County, North Carolina",732,310,168,171,124,124,44,66,0,12,0,12,64,96,16,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,66,260,143,208,117,127,83,40,59,0,12,0,12,41,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,79,219,116,141,88,101,70,0,12,0,12,0,12,40,62,0,12,78,55,10,18,0,12,0,12,0,12,32,38,0,12,36,44,0,12,85,61,44,52,0,12,0,12,44,52,0,12,0,12,41,36,0,12,15,24,0,12,0,12,0,12,0,12,26,28,0,12
1500000US370510006003,370510006003,"Block Group 3, Census Tract 6, Cumberland County, North Carolina",1942,312,385,144,249,122,51,50,56,85,0,12,47,54,95,73,0,12,73,70,0,12,0,12,0,12,37,40,0,12,36,56,63,89,470,165,324,137,93,57,0,12,0,12,13,21,163,118,55,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,146,127,568,125,340,122,185,88,66,76,0,12,27,30,62,69,0,12,158,78,27,45,32,35,0,12,17,26,35,43,0,12,47,46,70,85,519,126,90,71,29,46,0,12,61,55,0,12,0,12,429,111,0,12,125,82,32,50,0,12,0,12,0,12,272,102,0,12
